station,lat,lon
西ケ原四丁目駅,35.7444259,139.732773
自由が丘駅,35.6072728,139.6686661
茗荷谷駅,35.7173731,139.7367799
東陽町駅,35.669575,139.817707
平井(東京都)駅,35.7063649,139.8423899
市ケ谷駅,35.6910121,139.7355674
井荻駅,35.724675,139.61561
岩本町駅,35.6955713,139.7751813
目黒駅,35.63391319999999,139.7155561
新馬場駅,35.616516,139.7414667
東武練馬駅,35.768671,139.662382
稲荷町(東京都)駅,35.7113443,139.7826841
水道橋駅,35.7020484,139.7535016
緑が丘(東京都)駅,35.6065052,139.6791471
新中野駅,35.6974924,139.6689374
新小岩駅,35.7174462,139.8586312
中井駅,35.71506189999999,139.6872821
京急蒲田駅,35.5612239,139.7241355
多摩川駅,35.589497,139.6687779
新宿駅,35.6897376,139.7003912
戸越公園駅,35.6089128,139.718384
大森海岸駅,35.5874605,139.7353651
松陰神社前駅,35.6440032,139.655263
六本木駅,35.6627251,139.7312165
中野新橋駅,35.691958,139.673746
新柴又駅,35.75114689999999,139.8794192
中野坂上駅,35.6970686,139.6821613
柴又駅,35.75670780000001,139.875498
桜上水駅,35.6675857,139.6319134
野方駅,35.7196848,139.6532117
中村橋駅,35.7367747,139.6375767
お花茶屋駅,35.7475917,139.8401103
参宮橋駅,35.6785988,139.6936056
東京駅,35.68123620000001,139.7671248
京成立石駅,35.7382794,139.8485954
六郷土手駅,35.540531,139.707582
森下(東京都)駅,35.6880172,139.7982074
二子玉川駅,35.6114845,139.6264615
瑞江駅,35.6932651,139.8976807
茅場町駅,35.6799355,139.7801631
小竹向原駅,35.74334109999999,139.6795208
上北沢駅,35.6688702,139.6233839
西永福駅,35.6787736,139.6353521
三鷹台駅,35.6922447,139.5889205
豪徳寺駅,35.6537392,139.6473605
雑色駅,35.549525,139.714932
下板橋駅,35.745699,139.714879
菊川(東京都)駅,35.6883785,139.8061234
西ケ原駅,35.74592579999999,139.7422376
鷺ノ宮駅,35.7226182,139.6392681
小台駅,35.7505224,139.7615855
明大前駅,35.6683488,139.6505541
新宿御苑前駅,35.68857029999999,139.7108537
石川台駅,35.5969326,139.6852664
品川駅,35.6284713,139.7387597
扇大橋駅,35.763891,139.7708649
経堂駅,35.651276,139.6366889
中延駅,35.6058183,139.7127554
平和台(東京都)駅,35.7575611,139.6543279
蓮根駅,35.7841976,139.6790192
尾山台駅,35.6069669,139.6538896
千石駅,35.7278755,139.7448665
八潮駅,35.8078355,139.8448262
立会川駅,35.59847,139.738938
千歳船橋駅,35.6474195,139.6239762
西太子堂駅,35.6445185,139.6663315
八丁堀(東京都)駅,35.6746248,139.7768846
十条(東京都)駅,35.760257,139.7222387
赤土小学校前駅,35.7428713,139.769041
松原(東京都)駅,35.660117,139.64197
北綾瀬駅,35.7770135,139.8321012
麻布十番駅,35.6561336,139.7368813
京成高砂駅,35.7509628,139.8675536
尾久駅,35.7468149,139.7538755
西高島平駅,35.7918903,139.6458828
高島平駅,35.788919,139.661271
巣鴨駅,35.7334192,139.7392848
西台駅,35.7870582,139.6727974
練馬高野台駅,35.7406329,139.6168772
豊島園(西武線)駅,35.7426114,139.6480272
西大島駅,35.689371,139.826351
熊野前駅,35.7485267,139.7698487
馬喰町駅,35.6938839,139.7831098
上町駅,35.6433787,139.6467074
下丸子駅,35.5712152,139.6858078
桜台(東京都)駅,35.738702,139.662384
高輪台駅,35.6318285,139.7305368
糀谷駅,35.554475,139.729774
武蔵新田駅,35.5679766,139.6922031
宝町(東京都)駅,35.6756198,139.7721084
四谷三丁目駅,35.6879318,139.7206307
両国駅,35.6966574,139.7974657
秋葉原駅,35.698383,139.7730717
半蔵門駅,35.6853771,139.7416568
八幡山駅,35.6698304,139.6161352
曳舟駅,35.718372,139.8169146
西大井駅,35.60179189999999,139.7218021
下神明駅,35.6087973,139.7262243
青砥駅,35.7458456,139.8562557
北千束駅,35.6064301,139.6929472
吉祥寺駅,35.7031485,139.5798087
落合(東京都)駅,35.7106227,139.6861327
仙川駅,35.6623624,139.5850714
乃木坂駅,35.6664899,139.7262422
大山(東京都)駅,35.7485306,139.702286
不動前駅,35.6257683,139.713569
江北駅,35.773878,139.7704162
荏原中延駅,35.6099618,139.7119604
高田馬場駅,35.7126133,139.7036093
赤坂(東京都)駅,35.6722117,139.73638
青物横丁駅,35.6092793,139.7429839
旗の台駅,35.6048821,139.7027206
本蓮沼駅,35.7685159,139.70247
池尻大橋駅,35.6506294,139.6845797
西新宿駅,35.6943768,139.6928867
品川シーサイド駅,35.6094491,139.7496978
北赤羽駅,35.78662430000001,139.706161
下北沢駅,35.6615709,139.6669981
東池袋駅,35.7260176,139.7189976
中板橋駅,35.7561456,139.6946301
早稲田(東京メトロ)駅,35.7058075,139.7210682
浅草(ＴＸ)駅,35.714037,139.7924263
赤羽橋駅,35.6549848,139.7440021
三田(東京都)駅,35.64793909999999,139.7485618
谷塚駅,35.814215,139.801345
溜池山王駅,35.6721312,139.7414004
末広町(東京都)駅,35.7028977,139.7716539
洗足池駅,35.5998609,139.6914364
下赤塚駅,35.770476,139.644884
本郷三丁目駅,35.70750659999999,139.760436
世田谷代田駅,35.6583502,139.6615813
久我山駅,35.688151,139.599308
氷川台駅,35.7495622,139.6654662
上野駅,35.7141672,139.7774091
大崎駅,35.6198513,139.7281892
谷在家駅,35.788783,139.770039
東中野駅,35.7062291,139.6838102
築地駅,35.6678799,139.772516
春日(東京都)駅,35.70988,139.7531448
上中里駅,35.7465785,139.7469573
浜町駅,35.68840369999999,139.7877372
蔵前駅,35.7039071,139.7917597
富士見ケ丘駅,35.6847865,139.6072018
下高井戸駅,35.6661402,139.6414073
新大久保駅,35.7012459,139.7002258
用賀駅,35.6263427,139.6338175
都立家政駅,35.722366,139.644539
千鳥町駅,35.5729995,139.6914155
北品川駅,35.622066,139.739202
目白駅,35.7212199,139.7066115
上野毛駅,35.6119618,139.6389246
芦花公園駅,35.670542,139.608224
辰巳駅,35.6457723,139.810347
神谷町駅,35.6631176,139.7451826
代々木駅,35.683033,139.7020555
地下鉄成増駅,35.7766972,139.6311902
青井駅,35.7725638,139.8203688
浅草橋駅,35.6972419,139.7862329
志茂駅,35.778324,139.7322949
西早稲田駅,35.7076468,139.7090048
代々木八幡駅,35.66966439999999,139.6889201
奥沢駅,35.6039879,139.6722637
亀戸水神駅,35.700095,139.8334851
代官山駅,35.6480919,139.703148
泉岳寺駅,35.6386442,139.7399771
長原(東京都)駅,35.6022186,139.6979694
大鳥居駅,35.552281,139.740162
蓮沼駅,35.5641984,139.7084797
赤坂見附駅,35.677067,139.7373586
練馬春日町駅,35.7514626,139.6401514
九品仏駅,35.6054134,139.6610845
潮見駅,35.6587316,139.8174046
東松原駅,35.6626447,139.6554771
平和島駅,35.578694,139.734939
代田橋駅,35.671071,139.659387
浮間舟渡駅,35.7912024,139.6914026
新代田駅,35.662598,139.660524
新大塚駅,35.7258009,139.7298975
矢口渡駅,35.5625586,139.7002623
要町駅,35.733148,139.698492
洗足駅,35.6104126,139.6944011
白山(東京都)駅,35.72123029999999,139.7521623
新三河島駅,35.7373088,139.7741067
豊島園(都営線)駅,35.742056,139.64911
青山一丁目駅,35.6728567,139.7238444
富士見台駅,35.7359061,139.6298679
人形町駅,35.6859289,139.7826297
三河島駅,35.7331755,139.7784846
志村三丁目駅,35.7775286,139.6860842
若林(東京都)駅,35.6459904,139.6599237
御徒町駅,35.7075424,139.7748604
駒場東大前駅,35.6586634,139.6844907
高野(東京都)駅,35.7683838,139.7708085
穴守稲荷駅,35.5504483,139.746686
北池袋駅,35.7408394,139.7167423
新桜台駅,35.7412366,139.6688231
東新宿駅,35.6976949,139.7073541
落合南長崎駅,35.7234039,139.6834785
淡路町駅,35.69496,139.7674597
根津駅,35.7173463,139.7657368
大師前駅,35.7788779,139.7816241
小伝馬町駅,35.6907124,139.7785074
芝公園駅,35.6539326,139.7498313
大崎広小路駅,35.6226336,139.7226662
上井草駅,35.725258,139.602945
鐘ケ淵駅,35.7334267,139.8200022
若松河田駅,35.699236,139.7180749
地下鉄赤塚駅,35.769976,139.6440227
田園調布駅,35.5968481,139.6673415
御成門駅,35.6604912,139.7512681
千住大橋駅,35.7423722,139.7972609
牛込神楽坂駅,35.7008576,139.7358743
久が原駅,35.5798374,139.6853478
湯島駅,35.7068199,139.7699868
銀座一丁目駅,35.6743941,139.7669788
世田谷駅,35.6434634,139.6507137
東北沢駅,35.665433,139.6730245
舎人公園駅,35.7963917,139.77023
牛込柳町駅,35.699462,139.7255394
有明テニスの森駅,35.6400771,139.78884
代々木公園駅,35.6690997,139.6897729
下落合駅,35.71587410000001,139.6950191
田原町(東京都)駅,35.7098045,139.7907555
上石神井駅,35.726202,139.592279
鮫洲駅,35.6050298,139.7422408
お台場海浜公園駅,35.6298843,139.7788503
葛西臨海公園駅,35.6443849,139.8615927
浦安(千葉県)駅,35.6658833,139.8932558
三越前駅,35.6871555,139.7735707
外苑前駅,35.6705456,139.7180499
堀切駅,35.7432898,139.8174328
都庁前駅,35.6905696,139.6926607
新高島平駅,35.7902275,139.6542777
汐留駅,35.6628989,139.7599699
荒川区役所前駅,35.7349312,139.786459
本駒込駅,35.7250396,139.7536541
銀座駅,35.67172790000001,139.7644425
早稲田(都電荒川線)駅,35.7118376,139.7189954
虎ノ門駅,35.670129,139.7500733
小菅駅,35.7587165,139.8126622
とうきょうスカイツリー駅,35.7104047,139.8091593
京成関屋駅,35.7439417,139.8118024
足立小台駅,35.7546201,139.7704015
鵜の木駅,35.5754987,139.6806138
原宿駅,35.6702285,139.7026976
宮の坂駅,35.6478292,139.6449316
京橋(東京都)駅,35.6766907,139.7700339
東あずま駅,35.7071,139.8319021
大門(東京都)駅,35.6567191,139.7555724
九段下駅,35.6954816,139.7511544
南新宿駅,35.6836894,139.6989165
新宿三丁目駅,35.6907982,139.7063538
和光市駅,35.78833420000001,139.6128302
明治神宮前駅,35.6685,139.7053991
信濃町駅,35.6800602,139.7203199
神泉駅,35.6572452,139.6936617
戸越銀座駅,35.6159746,139.7150258
新御茶ノ水駅,35.696932,139.7654321
山下(東京都)駅,35.6539535,139.6466046
築地市場駅,35.6648801,139.7668777
天王洲アイル駅,35.6204405,139.7508021
小川町(東京都)駅,35.6951799,139.7668774
永田町駅,35.6786011,139.7402861
仲御徒町駅,35.7066283,139.7762034
昭和島駅,35.570682,139.7498986
見沼代親水公園駅,35.8144722,139.7708474
東雲(東京都)駅,35.6406875,139.8035966
牛田(東京都)駅,35.744385,139.811289
新日本橋駅,35.6890164,139.774265
東池袋四丁目駅,35.7252827,139.7201591
麹町駅,35.6843661,139.7373179
日本橋(東京都)駅,35.6821193,139.7747086
町屋二丁目駅,35.7437753,139.7767778
大手町(東京都)駅,35.6853494,139.7632784
狛江駅,35.6323551,139.577332
日の出(東京都)駅,35.6491608,139.7590728
西日暮里(舎人ライナー)駅,35.7337136,139.7681194
越中島駅,35.6679621,139.7926487
川崎駅,35.5313654,139.696889
天空橋駅,35.548032,139.754661
竹橋駅,35.690274,139.7583186
荒川車庫前駅,35.7508582,139.7527811
大井競馬場前駅,35.5956475,139.7469415
西武新宿駅,35.6953641,139.7000322
東銀座駅,35.6697003,139.7671399
面影橋駅,35.7130162,139.7142544
鬼子母神前駅,35.720038,139.7147131
上野広小路駅,35.7078788,139.7729859
宮ノ前駅,35.7500408,139.7652709
東伏見駅,35.7286669,139.5642335
梶原駅,35.7510889,139.7478397
新宿西口駅,35.6932917,139.6991323
京成上野駅,35.711208,139.773542
三ノ輪橋駅,35.7321051,139.7916155
国立競技場駅,35.6801659,139.7137789
荒川一中前駅,35.7337137,139.7889143
巣鴨新田駅,35.7355412,139.7277437
栄町(東京都)駅,35.7509161,139.7423024
町屋駅前駅,35.7427846,139.7809419
大塚駅前駅,35.7315853,139.7292891
滝野川一丁目駅,35.7472866,139.7354048
学習院下駅,35.716345,139.7125191
みずほ台駅,35.8382714,139.5508057
向原(東京都)駅,35.7289121,139.7249162
町屋(京成線)駅,35.742251,139.7813826
朝霞駅,35.7971136,139.6001932
王子駅前駅,35.7529805,139.7380432
新豊洲駅,35.6487138,139.7902236
整備場駅,35.5551801,139.7534099
鶴瀬駅,35.8458111,139.53953
東尾久三丁目駅,35.74568070000001,139.7738994
国際展示場駅,35.6344012,139.7915826
武蔵小杉駅,35.5766335,139.659466
金町駅,35.769538,139.870476
田町駅,35.6457361,139.7475624
三田駅,35.64793909999999,139.7485618
白山駅,35.72123029999999,139.7521623
平井駅,35.7063649,139.8423899
長原駅,35.6022186,139.6979694
高野駅,35.7683838,139.7708085
つつじケ丘駅,35.6579842,139.5750124
菊川駅,35.688379,139.806123
中野駅,35.7054067,139.6658254
末広町駅,35.7028977,139.7716539
都電雑司ケ谷駅,35.7241592,139.717881
新富町駅,35.6705851,139.7735117
大島駅,35.6897402,139.834371
大森駅,35.5884467,139.7278683
豊島園駅,35.742056,139.64911
大門駅,35.6567191,139.7555724
春日駅,35.70988,139.7531448
浦安駅,35.6658833,139.8932558
落合駅,35.7106227,139.6861327
ひばりケ丘駅,35.75142,139.545782
松原駅,35.660117,139.64197
緑が丘駅,35.606505,139.679147
大久保駅,35.701632,139.696694
八丁堀駅,35.6746248,139.7768846
大山駅,35.7485306,139.702286
梅屋敷駅,35.5668067,139.728246
町屋駅,35.742251,139.7813826
栄町駅,35.750916,139.742302
住吉駅,35.6890128,139.8158219
大塚駅,35.7318309,139.7281112
牛田駅,35.744385,139.811289
木場駅,35.6693678,139.8067878
稲荷町駅,35.7113443,139.7826841
田原町駅,35.7098045,139.7907555
向原駅,35.728895,139.724876
十条駅,35.760257,139.7222387
早稲田駅,35.7118376,139.7189954
平和台駅,35.7575611,139.6543279
森下駅,35.6880172,139.7982074
市場前駅,35.6457334,139.785686
桜台駅,35.738702,139.662384
神田駅,35.6918216,139.7709318
大手町駅,35.6853494,139.7632784
東雲駅,35.6406875,139.8035966
小川町駅,36.0584173,139.2613431
入谷駅,35.7208778,139.7846947
ときわ台駅,35.7588196,139.6888546
荒川七丁目駅,35.7419842,139.7841635
宝町駅,35.6756198,139.7721084
京橋駅,35.676691,139.770034
松戸駅,35.7843004,139.9006607
二子新地駅,35.60695750000001,139.6224949
日本橋駅,35.6821193,139.7747086
田無駅,35.7273335,139.5394451
庚申塚駅,35.7396241,139.729754
荒川遊園地前駅,35.7506878,139.7579215
幡ヶ谷駅,35.6770576,139.6761859
南阿佐ヶ谷駅,35.699456,139.6355541
南鳩ケ谷駅,35.8162585,139.7361382
三鷹駅,35.7027156,139.5610291
市川駅,35.728821,139.908197
日の出駅,35.6491608,139.7590728
妙典駅,35.6910457,139.924411
有明駅,35.6345617,139.7933266
赤坂駅,35.6722117,139.73638
国会議事堂前駅,35.6737673,139.7432682
阿佐ヶ谷駅,35.704872,139.6358594
新木場駅,35.6459065,139.8267917
国府台駅,35.7364267,139.9027779
西武柳沢駅,35.728637,139.5525518
東京テレポート駅,35.627235,139.7787204
井の頭公園駅,35.69751189999999,139.5827428
山下駅,35.653954,139.646605
京急川崎駅,35.5329877,139.7008715
南行徳駅,35.672716,139.902227
内幸町駅,35.6693954,139.7553294
新丸子駅,35.5805941,139.6619306
浅草橋駅,35.6972419,139.7862329
竹芝駅,35.65396670000001,139.761914
上野御徒町駅,35.7079667,139.7733811
天王洲アイル駅,35.6204405,139.7508021
産業道路駅,35.536727,139.740635
舞浜駅,35.6361543,139.8838749
三郷中央駅,35.8241151,139.8780562
和泉多摩川駅,35.6272958,139.5736456
西ヶ原駅,35.74592579999999,139.7422376
新庚申塚駅,35.7415497,139.7306585
京浜蒲田駅,35.5612239,139.7241355
港町駅,35.5349,139.712567
有楽町駅,35.6749187,139.7628199
市ヶ谷駅,35.6910121,139.7355674
霞ケ関駅,35.6726028,139.7511763
荒川二丁目駅,35.7387093,139.7846616
飛鳥山駅,35.7501674,139.7373831
富士見ヶ丘駅,35.6847865,139.6072018
鈴木町駅,35.5353076,139.7202714
雑司ヶ谷駅,35.7202997,139.7147177
戸田公園駅,35.8080807,139.6780402
高津駅,35.6032996,139.6172539
流通センター駅,35.581445,139.74916
梅ヶ丘駅,35.6560169,139.6536376
東門前駅,35.5367374,139.734725
台場駅,35.6258156,139.7712289
平間駅,35.5605559,139.6710844
興沢駅,35.9363025,137.9854085
見沼代親水公園駅,35.8144722,139.7708474
豊洲駅,35.653739,139.7954518
行徳駅,35.682604,139.914142
大崎駅,35.6198513,139.7281892
川口駅,35.8019293,139.7176375
巣田端駅,35.7381581,139.7608154
市川真間駅,35.7314197,139.9115382
本八幡駅,35.7210914,139.9272341
お台場海浜公園駅,35.6298843,139.7788503
葛西駅,35.6637474,139.8722603
志木駅,35.822163,139.575249
向河原駅,35.5721934,139.6672787
新座駅,35.8038032,139.5562788
蒲田駅,35.5624794,139.7160731
日暮里駅,35.7281578,139.7706414
西葛西駅,35.664577,139.8592032
牛込神楽坂駅,35.7008576,139.7358743
新宿駅,35.6897376,139.7003912
京急平和島駅,35.578694,139.734939
西部新宿駅,35.6943768,139.6928867
谷在家駅,35.788783,139.770039
目黒駅,35.63391319999999,139.7155561
川口元郷駅,35.8003916,139.7302086
梶原駅,35.7510889,139.7478397
浦和駅,35.8589408,139.6571662
桜上上水駅,35.7318915,139.4183678
新宿三丁目駅,35.6907982,139.7063538
浅草駅,35.7107924,139.7977621
雑司ケ谷駅,35.7202997,139.7147177
三郷駅,35.8448353,139.8868324
江北駅,35.773878,139.7704162
千鳥駅,33.7486438,130.4760969
東京モノレール整備場駅,35.5551801,139.7534099
鹿島田駅,35.5512831,139.6751339
若林駅,35.6459904,139.6599237
